Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,RoundID,MatchID,Home Team Initials,Away Team Initials
1930,13 Jul 1930- 15:00,Group 1,Pocitos,Montevideo,France,4,1,Mexico, ,4444.0,3,0,201,1096,Fra,Mex
1930,13 Jul 1930- 15:00,Group 4,Parque Central,Montevideo,USA,3,0,Belgium, ,18346.0,2,0,201,1090,Usa,Bel
1930,14 Jul 1930- 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,2,1,Brazil, ,24059.0,2,0,201,1093,Yug,Bra
1930,14 Jul 1930- 14:50,Group 3,Pocitos,Montevideo,Romania,3,1,Peru, ,2549.0,1,0,201,1098,Rou,Per
1930,15 Jul 1930- 16:00,Group 1,Parque Central,Montevideo,Argentina,1,0,France, ,23409.0,0,0,201,1085,Arg,Fra
1930,16 Jul 1930- 14:45,Group 1,Parque Central,Montevideo,Chile,3,0,Mexico, ,9249.0,1,0,201,1095,Chi,Mex
1930,17 Jul 1930- 12:45,Group 2,Parque Central,Montevideo,Yugoslavia,4,0,Bolivia, ,18306.0,0,0,201,1092,Yug,Bol
1930,17 Jul 1930- 14:45,Group 4,Parque Central,Montevideo,USA,3,0,Paraguay, ,18306.0,2,0,201,1097,Usa,Par
1930,18 Jul 1930- 14:30,Group 3,Estadio Centenario,Montevideo,Uruguay,1,0,Peru, ,57735.0,0,0,201,1099,Uru,Per
1930,19 Jul 1930- 12:50,Group 1,Estadio Centenario,Montevideo,Chile,1,0,France, ,2000.0,0,0,201,1094,Chi,Fra
1930,19 Jul 1930- 15:00,Group 1,Estadio Centenario,Montevideo,Argentina,6,3,Mexico, ,42100.0,3,1,201,1086,Arg,Mex
1930,20 Jul 1930- 13:00,Group 2,Estadio Centenario,Montevideo,Brazil,4,0,Bolivia, ,25466.0,1,0,201,1091,Bra,Bol
1930,20 Jul 1930- 15:00,Group 4,Estadio Centenario,Montevideo,Paraguay,1,0,Belgium, ,12000.0,1,0,201,1089,Par,Bel
1930,21 Jul 1930- 14:50,Group 3,Estadio Centenario,Montevideo,Uruguay,4,0,Romania, ,70022.0,4,0,201,1100,Uru,Rou
1930,22 Jul 1930- 14:45,Group 1,Estadio Centenario,Montevideo,Argentina,3,1,Chile, ,41459.0,2,1,201,1084,Arg,Chi
1930,26 Jul 1930- 14:45,Semi-finals,Estadio Centenario,Montevideo,Argentina,6,1,USA, ,72886.0,1,0,202,1088,Arg,Usa
1930,27 Jul 1930- 14:45,Semi-finals,Estadio Centenario,Montevideo,Uruguay,6,1,Yugoslavia, ,79867.0,3,1,202,1101,Uru,Yug
1930,30 Jul 1930- 14:15,Final,Estadio Centenario,Montevideo,Uruguay,4,2,Argentina, ,68346.0,1,2,405,1087,Uru,Arg
1934,27 May 1934- 16:30,Preliminary round,Stadio Benito Mussolini,Turin,Austria,3,2,France,Austria win after extra time ,16000.0,0,0,204,1104,Aut,Fra
1934,27 May 1934- 16:30,Preliminary round,Giorgio Ascarelli,Naples,Hungary,4,2,Egypt, ,9000.0,2,2,204,1119,Hun,Egy
1934,27 May 1934- 16:30,Preliminary round,San Siro,Milan,Switzerland,3,2,Netherlands, ,33000.0,2,1,204,1133,Sui,Ned
1934,27 May 1934- 16:30,Preliminary round,Littorale,Bologna,Sweden,3,2,Argentina, ,14000.0,1,1,204,1102,Swe,Arg
1934,27 May 1934- 16:30,Preliminary round,Giovanni Berta,Florence,Germany,5,2,Belgium, ,8000.0,1,2,204,1108,Ger,Bel
1934,27 May 1934- 16:30,Preliminary round,Luigi Ferraris,Genoa,Spain,3,1,Brazil, ,21000.0,3,0,204,1111,Esp,Bra
1934,27 May 1934- 16:30,Preliminary round,Nazionale PNF,Rome,Italy,7,1,USA, ,25000.0,3,0,204,1135,Ita,Usa
1934,27 May 1934- 16:30,Preliminary round,Littorio,Trieste,Czechoslovakia,2,1,Romania, ,9000.0,0,1,204,1141,Tch,Rou
1934,31 May 1934- 16:30,Quarter-finals,Stadio Benito Mussolini,Turin,Czechoslovakia,3,2,Switzerland, ,12000.0,1,1,418,1143,Tch,Sui
1934,31 May 1934- 16:30,Quarter-finals,San Siro,Milan,Germany,2,1,Sweden, ,3000.0,0,0,418,1129,Ger,Swe
1934,31 May 1934- 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,1,Spain, ,35000.0,0,0,418,1122,Ita,Esp
1934,31 May 1934- 16:30,Quarter-finals,Littorale,Bologna,Austria,2,1,Hungary, ,23000.0,1,0,418,1106,Aut,Hun
1934,01 Jun 1934- 16:30,Quarter-finals,Giovanni Berta,Florence,Italy,1,0,Spain, ,43000.0,1,0,418,1123,Ita,Esp
1934,03 Jun 1934- 16:30,Semi-finals,San Siro,Milan,Italy,1,0,Austria, ,35000.0,1,0,3492,1107,Ita,Aut
1934,03 Jun 1934- 16:30,Semi-finals,Nazionale PNF,Rome,Czechoslovakia,3,1,Germany, ,15000.0,1,0,3492,1130,Tch,Ger
1934,07 Jun 1934- 18:00,Match for third place,Giorgio Ascarelli,Naples,Germany,3,2,Austria, ,7000.0,3,1,3491,1105,Ger,Aut
1934,10 Jun 1934- 17:30,Final,Nazionale PNF,Rome,Italy,2,1,Czechoslovakia,Italy win after extra time ,55000.0,0,0,3490,1134,Ita,Tch
1938,04 Jun 1938- 17:00,First round,Parc des Princes,Paris,Switzerland,1,1,Germany, ,27152.0,0,0,206,1165,Sui,Ger
1938,05 Jun 1938- 17:00,First round,Velodrome Municipale,Reims,Hungary,6,0,Dutch East Indies, ,9000.0,4,0,206,1173,Hun,Inh
1938,05 Jun 1938- 17:00,First round,Stade Olympique,Colombes,France,3,1,Belgium, ,30454.0,2,1,206,1146,Fra,Bel
1938,05 Jun 1938- 17:00,First round,Stade Municipal,Toulouse,Cuba,3,3,Romania, ,7000.0,0,0,206,1156,Cub,Rou
1938,05 Jun 1938- 17:00,First round,Stade Vélodrome,Marseilles,Italy,2,1,Norway,Italy win after extra time ,19000.0,0,0,206,1179,Ita,Nor
1938,05 Jun 1938- 17:30,First round,Stade de la Meinau,Strasbourg,Brazil,6,5,Poland,Brazil win after extra time ,13452.0,0,0,206,1150,Bra,Pol
1938,05 Jun 1938- 18:30,First round,Cavee Verte,Le Havre,Czechoslovakia,3,0,Netherlands,Czechoslovakia win after extra time ,11000.0,0,0,206,1172,Tch,Ned
1938,09 Jun 1938- 18:00,First round,Stade Municipal,Toulouse,Cuba,2,1,Romania, ,8000.0,0,1,206,1157,Cub,Rou
1938,09 Jun 1938- 18:00,First round,Parc des Princes,Paris,Switzerland,4,2,Germany, ,20025.0,1,2,206,1166,Sui,Ger
1938,12 Jun 1938- 17:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,1,1,Czechoslovakia, ,22021.0,0,0,429,1152,Bra,Tch
1938,12 Jun 1938- 17:00,Quarter-finals,Victor Boucquey,Lille,Hungary,2,0,Switzerland, ,15000.0,1,0,429,1175,Hun,Sui
1938,12 Jun 1938- 17:00,Quarter-finals,Fort Carree,Antibes,Sweden,8,0,Cuba, ,7000.0,4,0,429,1158,Swe,Cub
1938,12 Jun 1938- 17:00,Quarter-finals,Stade Olympique,Colombes,Italy,3,1,France, ,58455.0,1,1,429,1164,Ita,Fra
1938,14 Jun 1938- 18:00,Quarter-finals,Stade du Parc Lescure,Bordeaux,Brazil,2,1,Czechoslovakia, ,18141.0,0,1,429,1153,Bra,Tch
1938,16 Jun 1938- 18:00,Semi-finals,Parc des Princes,Paris,Hungary,5,1,Sweden, ,20000.0,3,1,3489,1176,Hun,Swe
1938,16 Jun 1938- 18:00,Semi-finals,Stade Vélodrome,Marseilles,Italy,2,1,Brazil, ,33000.0,0,0,3489,1149,Ita,Bra
1938,19 Jun 1938- 17:00,Match for third place,Stade du Parc Lescure,Bordeaux,Brazil,4,2,Sweden, ,12000.0,1,2,3488,1151,Bra,Swe
1938,19 Jun 1938- 17:00,Final,Stade Olympique,Colombes,Italy,4,2,Hungary, ,45000.0,3,1,3487,1174,Ita,Hun
1950,24 Jun 1950- 15:00,Group 1,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Brazil,4,0,Mexico, ,81649.0,1,0,208,1187,Bra,Mex
1950,25 Jun 1950- 15:00,Group 2,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,England,2,0,Chile, ,29703.0,1,0,208,1192,Eng,Chi
1950,25 Jun 1950- 15:00,Group 2,Durival de Brito,Curitiba,Spain,3,1,USA, ,9511.0,0,1,208,1208,Esp,Usa
1950,25 Jun 1950- 15:00,Group 3,Pacaembu,Sao Paulo,Sweden,3,2,Italy, ,36502.0,2,1,208,1219,Swe,Ita
1950,25 Jun 1950- 15:00,Group 1,Independencia,Belo Horizonte,Yugoslavia,3,0,Switzerland, ,7336.0,0,0,208,1230,Yug,Sui
1950,28 Jun 1950- 15:00,Group 1,Pacaembu,Sao Paulo,Brazil,2,2,Switzerland, ,42032.0,2,1,208,1188,Bra,Sui
1950,28 Jun 1950- 15:00,Group 1,Eucaliptos,Porto Alegre,Yugoslavia,4,1,Mexico, ,11078.0,2,0,208,1225,Yug,Mex
1950,29 Jun 1950- 15:00,Group 2,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Spain,2,0,Chile, ,19790.0,2,0,208,1193,Esp,Chi
1950,29 Jun 1950- 15:30,Group 3,Durival de Brito,Curitiba,Sweden,2,2,Paraguay, ,7903.0,2,1,208,1228,Swe,Par
1950,29 Jun 1950- 15:00,Group 2,Independencia,Belo Horizonte,USA,1,0,England, ,10151.0,1,0,208,1202,Usa,Eng
1950,01 Jul 1950- 15:00,Group 1,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Brazil,2,0,Yugoslavia, ,142429.0,1,0,208,1191,Bra,Yug
1950,02 Jul 1950- 15:00,Group 2,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Spain,1,0,England, ,74462.0,0,0,208,1199,Esp,Eng
1950,02 Jul 1950- 15:00,Group 3,Pacaembu,Sao Paulo,Italy,2,0,Paraguay, ,25811.0,1,0,208,1218,Ita,Par
1950,02 Jul 1950- 15:00,Group 4,Independencia,Belo Horizonte,Uruguay,8,0,Bolivia, ,5284.0,4,0,208,1185,Uru,Bol
1950,02 Jul 1950- 15:40,Group 1,Eucaliptos,Porto Alegre,Switzerland,2,1,Mexico, ,3580.0,2,0,208,1222,Sui,Mex
1950,02 Jul 1950- 15:00,Group 2,Ilha do Retiro,Recife,Chile,5,2,USA, ,8501.0,2,0,208,1194,Chi,Usa
1950,09 Jul 1950- 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,2,2,Spain, ,44802.0,1,2,209,1207,Uru,Esp
1950,09 Jul 1950- 15:00,Group 6,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Brazil,7,1,Sweden, ,138886.0,3,0,209,1189,Bra,Swe
1950,13 Jul 1950- 15:00,Group 6,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Brazil,6,1,Spain, ,152772.0,3,0,209,1186,Bra,Esp
1950,13 Jul 1950- 15:00,Group 6,Pacaembu,Sao Paulo,Uruguay,3,2,Sweden, ,7987.0,1,2,209,1231,Uru,Swe
1950,16 Jul 1950- 15:00,Group 6,Pacaembu,Sao Paulo,Sweden,3,1,Spain, ,11227.0,2,0,209,1206,Swe,Esp
1950,16 Jul 1950- 15:00,Group 6,Maracana - Estádio Jornalista Mário Filho,Rio De Janeiro,Uruguay,2,1,Brazil, ,173850.0,0,0,209,1190,Uru,Bra
1954,16 Jun 1954- 18:00,Group 3,Wankdorf Stadium,Berne,Uruguay,2,0,Czechoslovakia, ,20500.0,0,0,211,1315,Uru,Tch
1954,16 Jun 1954- 18:00,Group 3,Hardturm,Zurich,Austria,1,0,Scotland, ,25000.0,1,0,211,1236,Aut,Sco
1954,16 Jun 1954- 18:00,Group 1,Charmilles,Geneva,Brazil,5,0,Mexico, ,13470.0,4,0,211,1249,Bra,Mex
1954,16 Jun 1954- 18:00,Group 1,La Pontaise,Lausanne,Yugoslavia,1,0,France, ,16000.0,1,0,211,1276,Yug,Fra
1954,17 Jun 1954- 18:00,Group 2,Wankdorf Stadium,Berne,Germany FR,4,1,Turkey, ,28000.0,1,1,211,1283,Frg,Tur
1954,17 Jun 1954- 18:00,Group 2,Hardturm,Zurich,Hungary,9,0,Korea Republic, ,13000.0,4,0,211,1294,Hun,Kor
1954,17 Jun 1954- 18:10,Group 4,St. Jakob,Basel,England,4,4,Belgium, ,14000.0,0,0,211,1240,Eng,Bel
1954,17 Jun 1954- 17:50,Group 4,La Pontaise,Lausanne,Switzerland,2,1,Italy, ,43000.0,1,1,211,1300,Sui,Ita
1954,19 Jun 1954- 16:50,Group 3,St. Jakob,Basel,Uruguay,7,0,Scotland, ,34000.0,2,0,211,1313,Uru,Sco
1954,19 Jun 1954- 17:00,Group 3,Hardturm,Zurich,Austria,5,0,Czechoslovakia, ,26000.0,4,0,211,1238,Aut,Tch
1954,19 Jun 1954- 17:10,Group 1,Charmilles,Geneva,France,3,2,Mexico, ,19000.0,1,0,211,1275,Fra,Mex
1954,19 Jun 1954- 17:00,Group 1,La Pontaise,Lausanne,Brazil,1,1,Yugoslavia, ,24637.0,0,0,211,1252,Bra,Yug
1954,20 Jun 1954- 16:50,Group 2,St. Jakob,Basel,Hungary,8,3,Germany FR, ,56000.0,3,1,211,1277,Hun,Frg
1954,20 Jun 1954- 17:00,Group 2,Charmilles,Geneva,Turkey,7,0,Korea Republic, ,4000.0,4,0,211,1304,Tur,Kor
